country,year,attack_type,target_industry,financial_loss_million,affected_users,attack_source,vulnerability_type,defense_mechanism,resolution_time_hours,loss_per_user,cluster_id,risk_profile
Brazil,2023,DDoS,Telecommunications,51.84,699007,Hacker Group,Social Engineering,VPN,30.0,74.16234744430314,0,High-Impact Rapid-Response Incidents
China,2021,Phishing,Retail,51.06,628562,Insider,Zero-day,AI-based Detection,52.0,81.23303667736835,2,Critical High-Impact Incidents
Japan,2022,Malware,Education,53.04,570494,Nation-state,Unpatched Software,VPN,53.0,92.97205579725642,2,Critical High-Impact Incidents
Japan,2022,Ransomware,Banking,26.17,937653,Insider,Unpatched Software,Encryption,24.0,27.910111736431283,0,High-Impact Rapid-Response Incidents
France,2020,Malware,IT,87.32,599757,Unknown,Social Engineering,Antivirus,9.0,145.59229821411006,0,High-Impact Rapid-Response Incidents
Australia,2015,DDoS,Government,82.7,904805,Hacker Group,Zero-day,Encryption,61.0,91.40090958825382,2,Critical High-Impact Incidents
UK,2022,SQL Injection,Education,66.24,678876,Hacker Group,Social Engineering,AI-based Detection,11.0,97.57304721333497,0,High-Impact Rapid-Response Incidents
France,2020,Malware,Telecommunications,18.38,246900,Hacker Group,Zero-day,AI-based Detection,34.0,74.44309437019037,1,Widespread Low-Loss Incidents
India,2015,SQL Injection,IT,42.99,85255,Unknown,Unpatched Software,Encryption,61.0,504.25195003225616,3,Concentrated High-Cost Incidents
Japan,2022,Phishing,Banking,98.47,972469,Nation-state,Zero-day,Antivirus,21.0,101.25772646737326,0,High-Impact Rapid-Response Incidents
Brazil,2023,Phishing,Healthcare,14.51,113777,Nation-state,Weak Passwords,VPN,27.0,127.53016866326234,1,Widespread Low-Loss Incidents
Brazil,2020,Phishing,Banking,17.75,739540,Hacker Group,Zero-day,Encryption,31.0,24.001406279579196,1,Widespread Low-Loss Incidents
China,2020,Man-in-the-Middle,Education,19.81,722788,Nation-state,Zero-day,Firewall,70.0,27.40775995174242,2,Critical High-Impact Incidents
Japan,2021,SQL Injection,Retail,82.52,214372,Insider,Unpatched Software,Encryption,12.0,384.9383314985166,0,High-Impact Rapid-Response Incidents
USA,2022,DDoS,Retail,32.53,235314,Insider,Weak Passwords,AI-based Detection,62.0,138.240818650824,2,Critical High-Impact Incidents
Brazil,2016,DDoS,Education,96.98,140812,Nation-state,Unpatched Software,VPN,71.0,688.7197113882339,2,Critical High-Impact Incidents
Russia,2015,DDoS,Telecommunications,96.39,238356,Unknown,Zero-day,AI-based Detection,3.0,404.3951064793838,0,High-Impact Rapid-Response Incidents
India,2021,SQL Injection,IT,98.09,826976,Nation-state,Zero-day,VPN,57.0,118.61287389234995,2,Critical High-Impact Incidents
UK,2019,Man-in-the-Middle,Retail,39.77,757694,Nation-state,Unpatched Software,Encryption,69.0,52.488207640551465,2,Critical High-Impact Incidents
USA,2017,DDoS,IT,74.12,403108,Hacker Group,Zero-day,VPN,64.0,183.87131984480587,2,Critical High-Impact Incidents
Australia,2020,DDoS,Banking,92.95,942890,Insider,Weak Passwords,Antivirus,19.0,98.57989797325244,0,High-Impact Rapid-Response Incidents
France,2022,Malware,Healthcare,20.33,794906,Unknown,Weak Passwords,AI-based Detection,36.0,25.575351047796847,1,Widespread Low-Loss Incidents
Australia,2016,SQL Injection,Government,27.33,481293,Hacker Group,Unpatched Software,Antivirus,65.0,56.784536654387246,2,Critical High-Impact Incidents
India,2016,DDoS,Education,21.01,602692,Hacker Group,Unpatched Software,VPN,29.0,34.86026029879275,1,Widespread Low-Loss Incidents
UK,2018,Man-in-the-Middle,Retail,13.66,455529,Hacker Group,Zero-day,Firewall,40.0,29.987113882980008,1,Widespread Low-Loss Incidents
Japan,2017,Phishing,Telecommunications,75.84,383395,Hacker Group,Zero-day,VPN,31.0,197.81165638571187,0,High-Impact Rapid-Response Incidents
USA,2023,DDoS,Retail,59.69,113612,Hacker Group,Zero-day,VPN,70.0,525.384642467345,2,Critical High-Impact Incidents
Australia,2019,Malware,Government,21.72,984411,Insider,Unpatched Software,Antivirus,17.0,22.063954994407823,0,High-Impact Rapid-Response Incidents
UK,2015,Phishing,IT,85.58,17229,Hacker Group,Weak Passwords,AI-based Detection,30.0,4967.20645423414,3,Concentrated High-Cost Incidents
France,2018,Phishing,Healthcare,75.11,581303,Insider,Social Engineering,Encryption,51.0,129.20972367250815,2,Critical High-Impact Incidents
India,2019,Man-in-the-Middle,Education,10.8,799474,Nation-state,Zero-day,AI-based Detection,23.0,13.508882089974158,1,Widespread Low-Loss Incidents
India,2020,DDoS,Banking,86.27,898655,Nation-state,Unpatched Software,AI-based Detection,10.0,95.99902075880065,0,High-Impact Rapid-Response Incidents
UK,2021,Malware,Healthcare,67.1,698852,Unknown,Weak Passwords,Antivirus,57.0,96.01460681231504,2,Critical High-Impact Incidents
India,2018,DDoS,Healthcare,76.43,304162,Hacker Group,Unpatched Software,Firewall,56.0,251.2805675922699,2,Critical High-Impact Incidents
Brazil,2015,Phishing,Banking,43.4,191625,Hacker Group,Social Engineering,VPN,65.0,226.4840182648402,2,Critical High-Impact Incidents
Australia,2024,Phishing,Education,93.32,93185,Unknown,Unpatched Software,VPN,14.0,1001.4487310189409,3,Concentrated High-Cost Incidents
India,2019,Phishing,Healthcare,35.6,40718,Nation-state,Zero-day,VPN,24.0,874.3062036445798,3,Concentrated High-Cost Incidents
China,2015,Phishing,Government,42.73,310574,Nation-state,Zero-day,Firewall,65.0,137.58395744653447,2,Critical High-Impact Incidents
India,2024,DDoS,Education,73.37,475719,Nation-state,Social Engineering,Firewall,52.0,154.22970282877077,2,Critical High-Impact Incidents
UK,2018,Malware,Retail,73.18,404060,Unknown,Weak Passwords,Antivirus,32.0,181.11171608177003,0,High-Impact Rapid-Response Incidents
China,2024,Malware,Education,72.35,132726,Hacker Group,Zero-day,Firewall,55.0,545.1079667887226,2,Critical High-Impact Incidents
UK,2016,DDoS,Banking,87.68,336376,Nation-state,Social Engineering,Firewall,11.0,260.66068922872023,0,High-Impact Rapid-Response Incidents
Australia,2022,Malware,Healthcare,67.16,566437,Unknown,Weak Passwords,Encryption,63.0,118.56570104000974,2,Critical High-Impact Incidents
Russia,2017,Man-in-the-Middle,Education,83.43,313631,Nation-state,Weak Passwords,Antivirus,16.0,266.0132448641875,0,High-Impact Rapid-Response Incidents
France,2016,DDoS,Banking,28.66,996004,Unknown,Zero-day,VPN,28.0,28.774984839418316,0,High-Impact Rapid-Response Incidents
China,2021,Phishing,Healthcare,55.04,871600,Insider,Unpatched Software,Firewall,29.0,63.14823313446535,0,High-Impact Rapid-Response Incidents
Brazil,2015,DDoS,IT,43.51,940656,Unknown,Weak Passwords,AI-based Detection,41.0,46.25495398955623,2,Critical High-Impact Incidents
USA,2015,Ransomware,Telecommunications,20.73,297209,Nation-state,Social Engineering,Firewall,66.0,69.74889724066229,2,Critical High-Impact Incidents
UK,2019,Phishing,IT,78.19,28321,Insider,Unpatched Software,Antivirus,63.0,2760.8488400833303,3,Concentrated High-Cost Incidents
Brazil,2022,Phishing,Telecommunications,29.02,456783,Nation-state,Zero-day,Encryption,10.0,63.531261014529875,0,High-Impact Rapid-Response Incidents
Germany,2018,Ransomware,Banking,87.56,933028,Nation-state,Unpatched Software,VPN,25.0,93.84498643127537,0,High-Impact Rapid-Response Incidents
Australia,2023,Phishing,Telecommunications,24.65,221512,Nation-state,Zero-day,AI-based Detection,56.0,111.28065296688216,2,Critical High-Impact Incidents
France,2017,Phishing,Banking,17.88,16585,Hacker Group,Unpatched Software,Encryption,12.0,1078.0826047633404,3,Concentrated High-Cost Incidents
USA,2022,Ransomware,Education,21.01,787752,Nation-state,Weak Passwords,Antivirus,9.0,26.670830413632718,0,High-Impact Rapid-Response Incidents
Russia,2022,SQL Injection,Banking,60.25,662517,Unknown,Social Engineering,Firewall,40.0,90.94106264443026,2,Critical High-Impact Incidents
Brazil,2018,Malware,Education,6.63,274509,Hacker Group,Zero-day,Encryption,20.0,24.15221358862551,1,Widespread Low-Loss Incidents
France,2024,Phishing,Government,5.8,508649,Hacker Group,Unpatched Software,Firewall,66.0,11.402755141561274,1,Widespread Low-Loss Incidents
Brazil,2021,DDoS,IT,70.26,740257,Unknown,Weak Passwords,Encryption,70.0,94.91298292349819,2,Critical High-Impact Incidents
Australia,2024,Malware,Healthcare,62.08,969504,Hacker Group,Social Engineering,AI-based Detection,5.0,64.03274251576063,0,High-Impact Rapid-Response Incidents
Germany,2016,Man-in-the-Middle,Healthcare,90.2,779494,Nation-state,Social Engineering,AI-based Detection,54.0,115.71609274734635,2,Critical High-Impact Incidents
Japan,2019,Malware,Banking,44.17,605166,Insider,Weak Passwords,Encryption,27.0,72.9882379380203,0,High-Impact Rapid-Response Incidents
France,2023,Malware,Government,55.18,274946,Insider,Zero-day,Encryption,66.0,200.6939544492373,2,Critical High-Impact Incidents
Japan,2019,Man-in-the-Middle,Banking,41.32,645097,Nation-state,Zero-day,Firewall,36.0,64.05238281994801,0,High-Impact Rapid-Response Incidents
UK,2015,DDoS,Telecommunications,32.92,157678,Nation-state,Unpatched Software,Antivirus,68.0,208.77991856822132,2,Critical High-Impact Incidents
Brazil,2022,DDoS,Retail,15.16,157034,Nation-state,Social Engineering,AI-based Detection,69.0,96.53960288854643,1,Widespread Low-Loss Incidents
India,2020,SQL Injection,Education,62.5,550656,Nation-state,Weak Passwords,Encryption,4.0,113.50098791259879,0,High-Impact Rapid-Response Incidents
Australia,2017,SQL Injection,Healthcare,68.91,634048,Hacker Group,Unpatched Software,Firewall,66.0,108.68262339759765,2,Critical High-Impact Incidents
UK,2023,DDoS,Banking,81.26,547495,Nation-state,Weak Passwords,AI-based Detection,3.0,148.4214467712034,0,High-Impact Rapid-Response Incidents
UK,2024,DDoS,Healthcare,58.31,487694,Hacker Group,Weak Passwords,Antivirus,41.0,119.56267659639036,2,Critical High-Impact Incidents
France,2023,Man-in-the-Middle,Retail,88.65,427067,Hacker Group,Unpatched Software,Antivirus,42.0,207.57867032573344,2,Critical High-Impact Incidents
Australia,2023,Malware,Telecommunications,1.51,954902,Hacker Group,Unpatched Software,AI-based Detection,55.0,1.5813141034367926,1,Widespread Low-Loss Incidents
UK,2020,Ransomware,Banking,49.23,128594,Nation-state,Weak Passwords,Firewall,53.0,382.8327915765899,2,Critical High-Impact Incidents
Germany,2024,Phishing,Healthcare,84.53,189430,Nation-state,Social Engineering,Firewall,1.0,446.23343715356594,0,High-Impact Rapid-Response Incidents
France,2021,DDoS,Healthcare,90.63,603327,Nation-state,Unpatched Software,AI-based Detection,15.0,150.21704647728347,0,High-Impact Rapid-Response Incidents
UK,2021,DDoS,Education,80.26,276593,Nation-state,Social Engineering,Encryption,36.0,290.1736486462058,0,High-Impact Rapid-Response Incidents
Japan,2023,Malware,Education,22.87,975282,Insider,Unpatched Software,Firewall,49.0,23.449627902493845,2,Critical High-Impact Incidents
India,2018,Ransomware,Retail,23.79,486810,Hacker Group,Unpatched Software,Antivirus,11.0,48.86916866950145,0,High-Impact Rapid-Response Incidents
Japan,2021,Ransomware,IT,35.43,969517,Hacker Group,Weak Passwords,Firewall,25.0,36.54396983240108,0,High-Impact Rapid-Response Incidents
Australia,2022,Malware,Banking,74.77,151599,Insider,Zero-day,Encryption,18.0,493.20905810724344,0,High-Impact Rapid-Response Incidents
Japan,2022,SQL Injection,IT,66.66,749545,Unknown,Social Engineering,AI-based Detection,30.0,88.93395326498076,0,High-Impact Rapid-Response Incidents
Brazil,2015,Malware,Retail,78.13,71743,Hacker Group,Unpatched Software,VPN,35.0,1089.0261070766485,3,Concentrated High-Cost Incidents
Germany,2018,Phishing,Banking,11.39,969684,Hacker Group,Weak Passwords,Antivirus,41.0,11.74609460401533,1,Widespread Low-Loss Incidents
Germany,2020,SQL Injection,Education,87.84,842506,Unknown,Weak Passwords,Antivirus,19.0,104.26038508924566,0,High-Impact Rapid-Response Incidents
Brazil,2023,Man-in-the-Middle,IT,10.18,933883,Nation-state,Social Engineering,Encryption,41.0,10.900723109854232,1,Widespread Low-Loss Incidents
UK,2019,Malware,Education,4.42,393748,Nation-state,Unpatched Software,AI-based Detection,10.0,11.225453843575078,1,Widespread Low-Loss Incidents
Brazil,2020,DDoS,Banking,76.98,708549,Unknown,Weak Passwords,Encryption,37.0,108.64456798330109,2,Critical High-Impact Incidents
Japan,2020,DDoS,Healthcare,73.24,136762,Unknown,Zero-day,VPN,41.0,535.5288749798921,3,Concentrated High-Cost Incidents
Russia,2018,Malware,Telecommunications,8.11,737958,Unknown,Social Engineering,VPN,35.0,10.989785326536197,1,Widespread Low-Loss Incidents
Japan,2020,Man-in-the-Middle,Banking,23.55,108886,Insider,Unpatched Software,Antivirus,51.0,216.28124827801554,3,Concentrated High-Cost Incidents
Australia,2016,Phishing,Banking,92.79,285311,Nation-state,Unpatched Software,VPN,55.0,325.22405375187077,2,Critical High-Impact Incidents
USA,2021,Malware,Retail,71.11,961868,Hacker Group,Unpatched Software,Antivirus,57.0,73.92906303151784,2,Critical High-Impact Incidents
Australia,2023,Man-in-the-Middle,Banking,57.34,471743,Unknown,Zero-day,Firewall,29.0,121.54923337495204,0,High-Impact Rapid-Response Incidents
UK,2024,Phishing,Government,81.26,993903,Unknown,Weak Passwords,Firewall,25.0,81.75848146147058,0,High-Impact Rapid-Response Incidents
China,2024,Ransomware,Telecommunications,7.32,179156,Nation-state,Social Engineering,AI-based Detection,34.0,40.85824644443948,1,Widespread Low-Loss Incidents
Germany,2022,Man-in-the-Middle,Healthcare,56.27,699129,Nation-state,Unpatched Software,Encryption,25.0,80.48586169362163,0,High-Impact Rapid-Response Incidents
Russia,2021,Malware,IT,83.76,920983,Insider,Social Engineering,Encryption,24.0,90.94630411201943,0,High-Impact Rapid-Response Incidents
UK,2023,SQL Injection,Banking,85.64,875790,Nation-state,Unpatched Software,Firewall,36.0,97.78599892668333,0,High-Impact Rapid-Response Incidents
Russia,2016,Malware,Retail,61.39,415274,Hacker Group,Weak Passwords,Encryption,40.0,147.83010735080936,2,Critical High-Impact Incidents
Russia,2023,Ransomware,Banking,42.14,222293,Hacker Group,Social Engineering,VPN,38.0,189.56962207536898,2,Critical High-Impact Incidents
France,2021,Man-in-the-Middle,Retail,94.4,357092,Unknown,Unpatched Software,VPN,71.0,264.35764452858086,2,Critical High-Impact Incidents
Australia,2021,Malware,Telecommunications,84.68,708291,Hacker Group,Zero-day,AI-based Detection,54.0,119.55538048626906,2,Critical High-Impact Incidents
Russia,2024,Malware,Banking,93.33,517610,Nation-state,Social Engineering,Firewall,35.0,180.30949943007283,0,High-Impact Rapid-Response Incidents
Germany,2023,Malware,Government,70.46,368803,Hacker Group,Unpatched Software,VPN,23.0,191.05050663904578,0,High-Impact Rapid-Response Incidents
China,2023,Man-in-the-Middle,Healthcare,48.71,421191,Nation-state,Unpatched Software,Firewall,62.0,115.64824509545551,2,Critical High-Impact Incidents
India,2018,Phishing,IT,69.03,282139,Hacker Group,Unpatched Software,Encryption,37.0,244.66663594894715,2,Critical High-Impact Incidents
China,2018,Malware,IT,49.19,117543,Insider,Social Engineering,Encryption,22.0,418.48515011527695,3,Concentrated High-Cost Incidents
France,2016,Phishing,Government,27.2,536925,Unknown,Zero-day,Encryption,62.0,50.65884434511338,2,Critical High-Impact Incidents
France,2023,Ransomware,Retail,64.08,238068,Unknown,Unpatched Software,VPN,61.0,269.1667926810827,2,Critical High-Impact Incidents
Japan,2022,Malware,Telecommunications,38.46,39814,Insider,Social Engineering,VPN,32.0,965.9918621590396,3,Concentrated High-Cost Incidents
India,2018,DDoS,Government,80.89,268956,Nation-state,Zero-day,Antivirus,47.0,300.7555139130564,2,Critical High-Impact Incidents
France,2015,Malware,Education,15.76,424,Nation-state,Unpatched Software,Antivirus,58.0,37169.811320754714,3,Concentrated High-Cost Incidents
USA,2021,SQL Injection,Telecommunications,82.24,982969,Unknown,Unpatched Software,Encryption,64.0,83.66489685839534,2,Critical High-Impact Incidents
Germany,2021,Malware,Government,82.72,219703,Nation-state,Social Engineering,Firewall,33.0,376.5082861863516,0,High-Impact Rapid-Response Incidents
Japan,2016,Man-in-the-Middle,Retail,18.96,530947,Nation-state,Unpatched Software,VPN,12.0,35.7097789421543,0,High-Impact Rapid-Response Incidents
UK,2017,SQL Injection,IT,53.39,576110,Insider,Unpatched Software,Antivirus,37.0,92.67327420110743,2,Critical High-Impact Incidents
UK,2017,Man-in-the-Middle,Government,48.9,177154,Unknown,Zero-day,Antivirus,68.0,276.03102385495106,2,Critical High-Impact Incidents
France,2017,SQL Injection,Healthcare,60.77,212177,Hacker Group,Social Engineering,Encryption,2.0,286.4118165493904,0,High-Impact Rapid-Response Incidents
Germany,2021,DDoS,Banking,91.24,8787,Hacker Group,Unpatched Software,Encryption,55.0,10383.521110731763,3,Concentrated High-Cost Incidents
USA,2015,Phishing,Education,41.36,291727,Insider,Social Engineering,Encryption,31.0,141.77638682741056,0,High-Impact Rapid-Response Incidents
Germany,2022,DDoS,IT,78.18,987652,Hacker Group,Social Engineering,VPN,72.0,79.15743601997465,2,Critical High-Impact Incidents
China,2022,Ransomware,Telecommunications,16.16,236284,Unknown,Social Engineering,Antivirus,38.0,68.39227370452507,1,Widespread Low-Loss Incidents
USA,2020,Man-in-the-Middle,Telecommunications,15.63,209853,Nation-state,Zero-day,VPN,1.0,74.4807079241183,0,High-Impact Rapid-Response Incidents
Australia,2020,DDoS,Retail,36.29,755621,Unknown,Zero-day,Antivirus,50.0,48.026722391251695,2,Critical High-Impact Incidents
France,2015,SQL Injection,Retail,61.41,694844,Insider,Unpatched Software,Antivirus,43.0,88.37954994214529,2,Critical High-Impact Incidents
France,2018,SQL Injection,Retail,53.72,795831,Nation-state,Unpatched Software,Encryption,61.0,67.50176859157284,2,Critical High-Impact Incidents
Brazil,2020,DDoS,Retail,17.4,342253,Unknown,Weak Passwords,Encryption,22.0,50.83958358290504,1,Widespread Low-Loss Incidents
USA,2016,Phishing,Retail,75.94,638693,Nation-state,Weak Passwords,AI-based Detection,35.0,118.89906418263547,0,High-Impact Rapid-Response Incidents
USA,2018,Phishing,Banking,55.9,618616,Insider,Zero-day,VPN,51.0,90.36300386669598,2,Critical High-Impact Incidents
Brazil,2023,SQL Injection,Retail,56.76,774426,Hacker Group,Social Engineering,AI-based Detection,21.0,73.29299377861797,0,High-Impact Rapid-Response Incidents
Australia,2023,DDoS,Government,76.25,900661,Insider,Unpatched Software,Encryption,64.0,84.66004412314955,2,Critical High-Impact Incidents
India,2019,Phishing,Telecommunications,75.23,141627,Insider,Unpatched Software,AI-based Detection,64.0,531.1840256448276,2,Critical High-Impact Incidents
Germany,2024,Phishing,IT,3.93,845785,Unknown,Unpatched Software,VPN,69.0,4.646570937058472,1,Widespread Low-Loss Incidents
Australia,2015,Malware,Retail,99.41,120048,Insider,Zero-day,Antivirus,12.0,828.0854324936691,0,High-Impact Rapid-Response Incidents
USA,2016,Malware,Retail,32.89,894935,Unknown,Social Engineering,AI-based Detection,31.0,36.75127243878047,0,High-Impact Rapid-Response Incidents
Japan,2017,SQL Injection,Healthcare,21.66,277555,Unknown,Social Engineering,AI-based Detection,45.0,78.03858694673127,1,Widespread Low-Loss Incidents
Australia,2024,Ransomware,Education,85.86,461012,Insider,Unpatched Software,AI-based Detection,38.0,186.242440543847,2,Critical High-Impact Incidents
Russia,2021,SQL Injection,Telecommunications,80.23,599291,Nation-state,Social Engineering,Firewall,55.0,133.87486212874882,2,Critical High-Impact Incidents
Australia,2016,Man-in-the-Middle,Government,31.92,163602,Hacker Group,Unpatched Software,VPN,26.0,195.10763927091355,0,High-Impact Rapid-Response Incidents
UK,2021,SQL Injection,Government,39.03,986196,Nation-state,Weak Passwords,Encryption,11.0,39.57631140260151,0,High-Impact Rapid-Response Incidents
France,2024,Ransomware,Retail,99.03,349008,Nation-state,Zero-day,Encryption,20.0,283.7470774308898,0,High-Impact Rapid-Response Incidents
Germany,2022,SQL Injection,Retail,25.1,559667,Unknown,Zero-day,Antivirus,69.0,44.84809717206839,2,Critical High-Impact Incidents
Russia,2018,DDoS,Healthcare,67.27,335628,Hacker Group,Weak Passwords,Antivirus,20.0,200.43023823995614,0,High-Impact Rapid-Response Incidents
Germany,2016,Ransomware,Education,29.89,385363,Unknown,Unpatched Software,Firewall,22.0,77.56323258849449,0,High-Impact Rapid-Response Incidents
USA,2021,Man-in-the-Middle,Education,15.92,945793,Insider,Zero-day,Firewall,32.0,16.832435850127883,1,Widespread Low-Loss Incidents
Russia,2016,SQL Injection,Telecommunications,95.93,595950,Nation-state,Social Engineering,AI-based Detection,11.0,160.9698800234919,0,High-Impact Rapid-Response Incidents
Japan,2022,DDoS,Education,12.61,756722,Nation-state,Weak Passwords,VPN,15.0,16.663979638493398,1,Widespread Low-Loss Incidents
Australia,2024,Ransomware,Government,39.92,594424,Hacker Group,Social Engineering,Antivirus,54.0,67.15744990108071,2,Critical High-Impact Incidents
China,2015,Malware,Retail,19.36,457790,Hacker Group,Zero-day,Encryption,39.0,42.2901330304288,1,Widespread Low-Loss Incidents
China,2024,Ransomware,Telecommunications,70.47,549337,Unknown,Social Engineering,Antivirus,63.0,128.28191073967346,2,Critical High-Impact Incidents
France,2023,Malware,Healthcare,53.34,714681,Unknown,Unpatched Software,Firewall,34.0,74.63469715859243,0,High-Impact Rapid-Response Incidents
India,2022,Malware,Government,84.15,849745,Hacker Group,Social Engineering,Antivirus,51.0,99.0297089126738,2,Critical High-Impact Incidents
Brazil,2019,SQL Injection,Banking,27.64,826256,Nation-state,Zero-day,VPN,50.0,33.452102011967234,2,Critical High-Impact Incidents
UK,2017,DDoS,IT,9.01,617543,Unknown,Zero-day,Antivirus,43.0,14.590077128232366,1,Widespread Low-Loss Incidents
USA,2017,SQL Injection,Banking,9.08,895507,Unknown,Social Engineering,AI-based Detection,52.0,10.13950756387164,1,Widespread Low-Loss Incidents
UK,2020,SQL Injection,Healthcare,67.9,2233,Unknown,Social Engineering,Antivirus,45.0,30407.523510971787,3,Concentrated High-Cost Incidents
Japan,2022,Phishing,Government,71.12,76776,Unknown,Unpatched Software,Firewall,42.0,926.3311451495259,3,Concentrated High-Cost Incidents
China,2019,Ransomware,Retail,6.08,175261,Nation-state,Zero-day,VPN,64.0,34.69111781856773,1,Widespread Low-Loss Incidents
Australia,2016,Man-in-the-Middle,Healthcare,90.85,746369,Insider,Unpatched Software,Antivirus,30.0,121.72263317474332,0,High-Impact Rapid-Response Incidents
Australia,2017,Malware,Healthcare,77.32,563706,Nation-state,Unpatched Software,AI-based Detection,35.0,137.16369880753442,0,High-Impact Rapid-Response Incidents
India,2022,DDoS,Healthcare,12.01,254980,Insider,Unpatched Software,AI-based Detection,58.0,47.10173346929171,1,Widespread Low-Loss Incidents
Russia,2021,Malware,Education,0.54,869574,Unknown,Unpatched Software,Antivirus,16.0,0.6209937279633476,1,Widespread Low-Loss Incidents
Russia,2015,Malware,IT,95.33,282598,Unknown,Zero-day,VPN,21.0,337.3343052675532,0,High-Impact Rapid-Response Incidents
Brazil,2023,Malware,Telecommunications,62.77,422623,Nation-state,Zero-day,AI-based Detection,55.0,148.52480816235746,2,Critical High-Impact Incidents
Brazil,2021,Malware,Healthcare,83.06,937717,Unknown,Unpatched Software,Encryption,56.0,88.57683074957583,2,Critical High-Impact Incidents
India,2021,Man-in-the-Middle,Telecommunications,71.64,416077,Insider,Social Engineering,VPN,39.0,172.17966866709767,2,Critical High-Impact Incidents
Australia,2019,Man-in-the-Middle,Banking,47.67,112313,Insider,Social Engineering,Firewall,63.0,424.4388450134891,2,Critical High-Impact Incidents
Australia,2017,Man-in-the-Middle,Telecommunications,79.72,799971,Insider,Zero-day,Firewall,63.0,99.65361244345108,2,Critical High-Impact Incidents
Japan,2018,Man-in-the-Middle,Retail,47.11,690595,Hacker Group,Social Engineering,Antivirus,71.0,68.21653791295911,2,Critical High-Impact Incidents
India,2017,Man-in-the-Middle,Government,69.69,713419,Hacker Group,Unpatched Software,AI-based Detection,70.0,97.68453040919852,2,Critical High-Impact Incidents
Australia,2022,Man-in-the-Middle,Healthcare,81.31,707365,Hacker Group,Zero-day,Antivirus,38.0,114.94772854184191,2,Critical High-Impact Incidents
